,readability,sem_complexity,entropy,sem_coher,corpus_url,ent_name,kmeans,gmix,agg,cluster_vote,term_CEFR,term_CEFR_factor,corpus_CEFR,corpus_CEFR_factor
5852,8.188838210338858,5.065436241610739,0.16084319292899377,0.15555308779958574,https://www.investopedia.com/terms/v/voluntaryaccumulationplan.asp,Voluntary Accumulation Plan,1,1,1,1,B2,2.0,C1,4.0
5853,10.656715377697768,5.538304392236976,0.14467919578132046,0.21595398874122215,https://www.investopedia.com/terms/v/voluntary-bankruptcy.asp,Voluntary Bankruptcy,2,2,2,2,C2,3.0,C2,5.0
5854,9.709854757929826,5.1039729501267965,0.09080732812786255,0.138933983207852,https://www.investopedia.com/terms/v/voluntarycompliance.asp,Voluntary Compliance,2,2,2,2,B2,2.0,C2,5.0
5855,11.164261009260915,5.236154649947753,0.09801681668280571,0.22291771959471754,https://www.investopedia.com/terms/v/voluntary-conveyance.asp,Voluntary Conveyance,2,3,2,2,C2,3.0,C1,4.0
5856,15.046217484008562,5.5046875,0.08979181805953468,0.2041594439649265,https://www.investopedia.com/terms/v/veba.asp,Voluntary Employees' Beneficiary Association (VEBA),3,5,4,3,C2,3.0,C1,4.0
5857,11.89975699558169,5.293844367015098,0.15347878161370276,0.16532206730457913,https://www.investopedia.com/terms/v/voluntaryemployeesassoc.asp,Voluntary Employees Beneficiary Association Plan (VEBA),4,3,3,3,C2,3.0,C1,4.0
5858,11.03213411727334,5.030035335689046,0.1457177127643951,0.19176035805637157,https://www.investopedia.com/terms/v/voluntary_export_restraint.asp,Voluntary Export Restraint (VER),2,3,2,2,C2,3.0,B2,3.0
5859,9.023820399977904,5.1844456121912765,0.12533754609998624,0.10597932427817208,https://www.investopedia.com/terms/v/voluntary-foreclosure.asp,Voluntary Foreclosure,1,1,1,1,B2,2.0,B2,3.0
5860,10.389174041297903,5.273563218390804,0.1110312122774714,0.19366719998847656,https://www.investopedia.com/terms/v/voluntary-lien.asp,Voluntary Lien,2,2,2,2,C2,3.0,B2,3.0
5861,9.418817034700218,5.880499405469679,0.13971456743093036,0.1929152871464602,https://www.investopedia.com/terms/v/voluntary-life-insurance.asp,Voluntary Life Insurance,1,1,2,1,C2,3.0,C2,5.0
